App bundle	App name	Screen id	Question	Answer	Answer Type
com.apple.appstore	AppStore	1707174130	Where should I click to update all applications?	[(2120, 154), (2280, 192)]	coordinates
com.apple.appstore	AppStore	1707174130	I want to use a search bar, where should I click?	[(80, 104), (368, 160)]	coordinates
com.surteesstudios.Bartender-setapp	Bartender	1707227556	How many toggle buttons are turned off on the visible screen?	6	number
com.surteesstudios.Bartender-setapp	Bartender	1707227556	"Is the selected menu page ""Menu Bar Items""?"	No	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227543	How many toggle buttons are there on the visible part of the screen?	0	number
com.surteesstudios.Bartender-setapp	Bartender	1707227543	"Is the selected menu page ""Menu Bar Items""?"	Yes	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227479	How many toggle buttons are there on the visible part of the screen?	10	number
com.surteesstudios.Bartender-setapp	Bartender	1707227479	What is the numeric value selected on the slider of seconds of delay before showing on hover?	0.2	number
com.surteesstudios.Bartender-setapp	Bartender	1707227543	How many buttons (not including menu buttons) are on the screen?	0	number
com.surteesstudios.Bartender-setapp	Bartender	1707227575	How many toggle buttons are turned on, on the visible screen?	1	number
com.surteesstudios.Bartender-setapp	Bartender	1707227583	"Is the selected menu page ""Advanced""?"	No	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227575	"Is the selected menu page ""Triggers""?"	Yes	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227583	How many ACTIVE buttons (excluding toolbar menu buttons) are there on the screen?	1	number
com.surteesstudios.Bartender-setapp	Bartender	1707227591	How many toggle buttons are turned on?	3	number
com.surteesstudios.Bartender-setapp	Bartender	1707227591	How many sliders are visible on the screen?	1	number
com.surteesstudios.Bartender-setapp	Bartender	1707227591	What is the numeric value selected on the slider of seconds of delay before hiding temporarily shown menu bar items?	15	number
com.surteesstudios.Bartender-setapp	Bartender	1707227599	How many sliders are visible on the screen?	0	number
com.surteesstudios.Bartender-setapp	Bartender	1707227599	How many buttons (excluding toolbar menu buttons) are there on the screen?	5	number
com.surteesstudios.Bartender-setapp	Bartender	1707227599	"Is the selected menu page ""About""?"	Yes	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227424	Where should I click to Quit Bartender?	[(26, 1322), (272, 1386)]	coordinates
com.surteesstudios.Bartender-setapp	Bartender	1707227583	Where do I click to Add menu bar item hot key?	[(1382, 1030), (1776, 1094)]	coordinates
com.surteesstudios.Bartender-setapp	Bartender	1707227479	How many sliders are visible on the screen?	1	number
com.surteesstudios.Bartender-setapp	Bartender	1707227575	"Is the ""Show Wi-Fi when Wi-Fi condition met"" trigger active?"	No	yes/no
com.surteesstudios.Bartender-setapp	Bartender	1707227556	Where should I click to Reset menu bar?	[(510, 1012), (764, 1092)]	coordinates
com.surteesstudios.Bartender-setapp	Bartender	1707227424	How many toggle buttons are there on the screen?	1	number
com.surteesstudios.Bartender-setapp	Bartender	1707227424	How many buttons (not including toggle buttons) are on the screen?	7	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235174	How many checkboxes are checked on the visible screen?	1	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235260	How many checkboxes are checked on the visible screen?	6	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235260	What is the free space after ESC button (in px)?	10	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235260	"Is the current selected sidebar page ""Touch Bar""?"	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235049	"Where should I click to click on ""Configure Move / Resize"" button?"	[(1308, 496), (1762, 560)]	coordinates
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235024	"Where should I click to click on ""Select Trigger"" button?"	[(1320, 230), (1762, 294)]	coordinates
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235279	How many sliders are visible on the screen?	0	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235279	How many checkboxes are checked on the visible screen?	12	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235279	"Is the current selected menubar item ""Snapping""?"	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235174	How many checkboxes are there on the visible screen?	3	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235174	How many sliders are visible on the screen?	4	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235133	How many checkboxes are there on the visible screen?	6	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235133	Is the current menu responsible for mouse triggers?	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235011	How many checkboxes are visible on the screen?	8	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235011	How many checkboxes are checked on the visible screen?	0	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235024	Is the screen responsible for creating trigger pipeline for a Computer Mouse?	No	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235024	Is the screen responsible for creating trigger pipeline for a Touch Bar?	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235049	"Is the selected action ""Custom Move / Resize Window""?"	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235011	"Is the selected app ""Finder""?"	Yes	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235049	"Is the selected preset ""Touch Bar""?"	No	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235097	How many checkboxes are unchecked on the visible screen?	6	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235097	How many checkboxes are checked on the visible screen?	1	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235097	"Is the current selected trigger ""Brightness Slider Widget""?"	No	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235133	Are notes shown instead of description?	No	yes/no
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235072	How many checkboxes are checked on the visible screen?	3	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235072	What is the Widget Width (in px)?	200	number
com.hegenberg.bettertouchtool-setapp	Bettertouchtool	1707235072	What is the value of Trigger after sliding (in %)?	0	number
com.hogbaysoftware.Bike-setapp	Bike	1707240207	"Does ""Click"" open in a current window?"	Yes	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240233	How many buttons (excluding menubar buttons) are there on the screen?	3	number
com.hogbaysoftware.Bike-setapp	Bike	1707240226	Are smart dashes used in formatting?	Yes	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240226	"Is the selected menubar page ""Autocorrect""?"	Yes	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240226	How many checkboxes are unchecked on the screen?	0	number
com.hogbaysoftware.Bike-setapp	Bike	1707240217	What is the value of font size (in pt)?	14	number
com.hogbaysoftware.Bike-setapp	Bike	1707240217	How many slider are visible on the screen?	4	number
com.hogbaysoftware.Bike-setapp	Bike	1707240217	How many checkboxes are checked on the screen?	3	number
com.hogbaysoftware.Bike-setapp	Bike	1707240207	"Does ""⌘-Click"" open in a current window?"	No	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240200	"Is the selected menubar page ""General""?"	No	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240200	How many checkboxes are checked on the screen?	1	number
com.hogbaysoftware.Bike-setapp	Bike	1707240200	Does the application close documents when Bike is quit?	No	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240192	How many options for appearance are there?	3	number
com.hogbaysoftware.Bike-setapp	Bike	1707240192	"Is the selected menubar page ""General""?"	Yes	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240192	"Is the selected appearance ""Light""?"	No	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240233	"Is the selected menubar page ""General""?"	No	yes/no
com.hogbaysoftware.Bike-setapp	Bike	1707240207	How many checkboxes are checked on the screen?	1	number
com.hogbaysoftware.Bike-setapp	Bike	1707240233	How many ACTIVE buttons (excluding menubar buttons) are there on the screen?	2	number
com.apple.iBooksX	Books	1707082803	Is the searchbar currently selected?	Yes	yes/no
com.apple.iBooksX	Books	1707082815	What is the title of the book on the screen?	The Fellowship of the Ring	string
com.apple.iBooksX	Books	1707082754	What is the name of the account?	Mariya Hirna	string
com.apple.iBooksX	Books	1707082815	What is the price of displayed book?	14.99	number
com.apple.iBooksX	Books	1707082803	How many suggestions for the query are provided?	4	number
com.apple.iBooksX	Books	1707082803	What is the price of the first book in Top Results?	14.99	number
com.apple.iBooksX	Books	1707082692	What is the name of current tab on the screen?	Read Now	string
com.apple.iBooksX	Books	1707082692	How many Special Offers & Free books are suggested?	6	number
com.apple.iBooksX	Books	1707082731	How many limited-time offers are displayed?	2	number
com.apple.iBooksX	Books	1707082692	I want to the books i finished, where should I click?	[(20, 606), (380, 662)]	coordinates
com.apple.iBooksX	Books	1707082754	I want to add new collection, where should I click?	[(20, 958), (380, 1014)]	coordinates
com.apple.iBooksX	Books	1707082731	How many sections are the in the sidebar menu?	3	number
com.apple.iBooksX	Books	1707082815	What is typed in the searchbar on the screen?	lord of the rings	string
com.apple.iBooksX	Books	1707082731	What is the title of this screen?	Audiobook Store	string
com.apple.iBooksX	Books	1707082754	How many books are there on the screen?	8	number
com.apple.iCal	Calendar	1707174386	Where should I click to add an event?	[(286, 0), (378, 76)]	coordinates
com.apple.iCal	Calendar	1707174386	"Where should I click to change the layout to ""Month""?"	[(936, 14), (1066, 64)]	coordinates
com.apple.iCal	Calendar	1707174363	How many checkboxes are checked on the screen?	4	number
com.apple.iCal	Calendar	1707174363	Is today the 6th of January?	No	yes/no
com.apple.iCal	Calendar	1707174363	"Is the selected calendar layout ""Day""?"	No	yes/no
com.apple.iCal	Calendar	1707174386	"Is the selected calendar layout ""Week""?"	Yes	yes/no
com.apple.iCal	Calendar	1707174410	How many search bars are on the screen?	1	number
com.apple.iCal	Calendar	1707174410	What is the name of the event created?	New Event	string
com.apple.iCal	Calendar	1707174410	What is the duration of a created event (in hours)?	2	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211164	Where should I click to continue?	[(100, 1098), (652, 1198)]	coordinates
com.mailrtech.canarymail-setapp	Canary Mail	1707211183	Where do I click to go to the next page?	[(552, 1098), (652, 1198)]	coordinates
com.mailrtech.canarymail-setapp	Canary Mail	1707211212	How many text input fields are on the screen?	0	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211212	How many checkboxes are visible on the screen?	0	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211164	How many buttons are there on the screen?	3	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211212	How many sliders are visible on the screen?	0	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211183	"Is the selected prompt option ""Email boss, say I quit. Make it funny.""?"	No	yes/no
com.mailrtech.canarymail-setapp	Canary Mail	1707211164	How many checkboxes are checked on the screen?	0	number
com.mailrtech.canarymail-setapp	Canary Mail	1707211183	How many text input fields are on the screen?	1	number
com.google.Chrome	Chrome	1707230671	How many toggle buttons are there on the visible screen?	1	number
com.google.Chrome	Chrome	1707230679	How many toggle buttons are turned on, on the visible screen?	1	number
com.google.Chrome	Chrome	1707230679	How many toggle buttons are turned off, on the visible screen?	1	number
com.google.Chrome	Chrome	1707230679	Is energy saver turned on when the battery is at 20% or lower?	Yes	yes/no
com.google.Chrome	Chrome	1707230659	Is the enhanced spell check selected?	No	yes/no
com.google.Chrome	Chrome	1707230706	"Is the current selected menu item ""Accessibility""?"	Yes	yes/no
com.google.Chrome	Chrome	1707230706	How many toggle buttons are there on the screen?	3	number
com.google.Chrome	Chrome	1707230621	How many theme colour options are on the screen?	15	number
com.google.Chrome	Chrome	1707230621	"Is the current selected menu item ""You and Google""?"	Yes	yes/no
com.google.Chrome	Chrome	1707230659	How many toggle buttons are turned on, on the visible screen?	1	number
com.google.Chrome	Chrome	1707230671	"Is the current selected menu item ""System""?"	Yes	yes/no
com.google.Chrome	Chrome	1707230588	Where do I click to go to the previous page?	[(10, 92), (78, 160)]	coordinates
com.google.Chrome	Chrome	1707230706	How many toggle buttons are turned off, on the visible screen?	3	number
com.google.Chrome	Chrome	1707230561	Where do I click to reject all cookies?	[(1380, 1416), (1560, 1488)]	coordinates
com.google.Chrome	Chrome	1707230392	How many text input fields are on the screen?	2	number
com.google.Chrome	Chrome	1707230392	Is it possible to go to a Google Drive bookmark using this screen?	No	yes/no
com.google.Chrome	Chrome	1707230392	How many checkboxes are visible on the screen?	0	number
com.google.Chrome	Chrome	1707230455	How many text input fields are on the screen?	2	number
com.google.Chrome	Chrome	1707230514	How many tabs are open in Chrome?	2	number
com.google.Chrome	Chrome	1707230671	How many toggle buttons are turned on, on the visible screen?	0	number
com.google.Chrome	Chrome	1707230659	"Is the current selected menu item ""You and Google""?"	No	yes/no
com.google.Chrome	Chrome	1707230621	Where do I click to change the theme colour to orange?	[(1258, 994), (1422, 1156)]	coordinates
com.google.Chrome	Chrome	1707230514	How many text input fields are on the screen?	2	number
com.google.Chrome	Chrome	1707230561	Is the selected tab Youtube?	Yes	yes/no
com.google.Chrome	Chrome	1707230588	Where do I click to create a new tab?	[(1136, 0), (1192, 82)]	coordinates
com.google.Chrome	Chrome	1707230514	"Is the selected tab on ""What's new in Chrome""?"	No	yes/no
com.google.Chrome	Chrome	1707230541	Where do I click to close this tab?	[(1064, 12), (1120, 68)]	coordinates
com.google.Chrome	Chrome	1707230455	Where do I click to search for images?	[(2176, 282), (2262, 330)]	coordinates
com.google.Chrome	Chrome	1707230455	Where do I click to customise Chrome?	[(2026, 1536), (2368, 1600)]	coordinates
com.google.Chrome	Chrome	1707230561	What is the url address of this tab?	youtube.com	string
com.google.Chrome	Chrome	1707230541	How many checkboxes are visible on the screen?	0	number
com.google.Chrome	Chrome	1707230541	"Is the selected tab on ""miyazaki hayao""?"	Yes	yes/no
com.google.Chrome	Chrome	1707230588	Is there a settings icon on the page?	Yes	yes/no
com.littlefin.chroniclemac-setapp	Chronicle	1707169173	How many sections are there in the sidebar menu in the background?	2	number
com.littlefin.chroniclemac-setapp	Chronicle	1707169173	What is the amount due for the Internet bill as shown on the screen in UAH?	270	number
com.littlefin.chroniclemac-setapp	Chronicle	1707169173	What is the title of displayed bill?	Internet	string
com.littlefin.chroniclemac-setapp	Chronicle	1707169110	How many buttons are there in the sidebar menu in Bills section?	4	number
com.littlefin.chroniclemac-setapp	Chronicle	1707169110	What is the title of the current window?	Overview	string
com.littlefin.chroniclemac-setapp	Chronicle	1707169110	Is the search bar currently selected?	No	yes/no
com.littlefin.chroniclemac-setapp	Chronicle	1707169240	How many buttons are in sidebar in the reports sections?	5	number
com.littlefin.chroniclemac-setapp	Chronicle	1707169240	How many buttons are provided in the right bottom of the screen?	2	number
com.littlefin.chroniclemac-setapp	Chronicle	1707169240	Is there a search bar on the screen?	Yes	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308651	"Is the selected element ""Smart connection""?"	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308692	How many country elements are available for selection on the VISIBLE screen?	6	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308706	How many buttons are there on the screen?	6	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308718	How many stream service UI blocks are displayed on the VISIBLE screen?	7	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308718	Is Netflix an option to select on the VISIBLE screen?	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308718	Is the VPN connection on?	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308692	What's the ping in ms for USA (Chicago)?	147	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308692	Is #TopPrivacy a selected tag?	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308679	Does Germany have #RichContent flag?	Yes	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308679	What's the ping in ms for France (Paris)?	31	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308679	What's the ping in ms for Ukraine (Odesa)?	42	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308651	Am I currently located in Ukraine?	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081939	How many toggle buttons are on the screen?	0	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081902	How many toggle buttons are turned off?	1	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081939	How many buttons (not including toolbar menu items or close the window button) are there on the screen?	5	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081927	"Is the current toolbar menu page ""Account""?"	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081927	How many buttons (not including toolbar menu items or close the window button) are there on the screen?	2	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081916	"Is the current toolbar menu page ""Shortcuts""?"	Yes	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081916	"Is the current toolbar menu page ""Account""?"	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081916	How many buttons (not including toolbar menu items or close the window button) are there on the screen?	0	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081902	"Is the current toolbar menu page ""System settings""?"	Yes	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081893	How many search bars are on the screen?	0	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081893	"Is the current toolbar menu page ""Account""?"	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081939	How many checkboxes are on the screen?	0	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081902	How many toggle buttons are turned on?	2	number
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308706	Is it possible to connect to Ukraine VPN from this screen?	No	yes/no
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308651	Where should I click to connect to VPN?	[(560, 1128), (1040, 1224)]	coordinates
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081893	Where should I click to close the settings menu?	[(1488, 76), (1552, 140)]	coordinates
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707081927	Where should I click to donate to Ukraine?	[(690, 460), (1010, 524)]	coordinates
com.macpaw.clearvpn.macos-setapp	ClearVPN	1707308706	Where should I click to change settings?	[(56, 1160), (104, 1208)]	coordinates
com.apple.clock	Clock	1707172767	Where to click to stop the watch?	[(1032, 1368), (1356, 1448)]	coordinates
com.apple.clock	Clock	1707172625	I want to add a clock, where should I click?	[(1960, 0), (2032, 104)]	coordinates
com.apple.clock	Clock	1707172693	"Where is ""Save"" button located?"	[(1212, 1028), (1364, 1092)]	coordinates
com.apple.clock	Clock	1707172767	How many seconds has the stopwatch been running?	6.38	number
com.apple.clock	Clock	1707172625	"Is the displayed city ""London""?"	Yes	yes/no
com.apple.clock	Clock	1707172625	How many radio buttons are on the screen?	4	number
com.apple.clock	Clock	1707172693	"Is there a ""Cancel"" button on the screen?"	Yes	yes/no
com.apple.clock	Clock	1707172693	How many checkboxes are there on the screen?	1	number
com.apple.clock	Clock	1707172767	How many buttons are in the bottom of the screen?	2	number
com.lukilabs.lukiapp-setapp	Craft	1707210383	How many templates are displayed on the screen?	10	number
com.lukilabs.lukiapp-setapp	Craft	1707210293	What is the name of the first displayed document?	Essay Practice	string
com.lukilabs.lukiapp-setapp	Craft	1707210293	What is the name of the space in the screen?	Yelyzaveta's Space	string
com.lukilabs.lukiapp-setapp	Craft	1707210293	How many folders are there in the sidebar menu?	5	number
com.lukilabs.lukiapp-setapp	Craft	1707210383	Is there a search field on the screen?	Yes	yes/no
com.lukilabs.lukiapp-setapp	Craft	1707210383	What is the name of the first template in the 'Craft for Self-Improvement' section?	Bullet Journal	string
com.lukilabs.lukiapp-setapp	Craft	1707210355	Which month is today according to the screen?	February	string
com.lukilabs.lukiapp-setapp	Craft	1707210368	How many buttons are there in the top right card?	6	number
com.lukilabs.lukiapp-setapp	Craft	1707210333	What is the name of the selected sidebar item?	My Templates	string
com.lukilabs.lukiapp-setapp	Craft	1707210368	Is there a search bar on the screen?	Yes	yes/no
com.lukilabs.lukiapp-setapp	Craft	1707210368	Is a search bar currently selected?	No	yes/no
com.lukilabs.lukiapp-setapp	Craft	1707210333	I want to see notes I removed lately, where should I click?	[(128, 1086), (500, 1150)]	coordinates
com.lukilabs.lukiapp-setapp	Craft	1707210355	What is the title of the current open tab?	How to use Craft	string
com.lukilabs.lukiapp-setapp	Craft	1707210333	How many tables above the folders section are listed in the sidebar menu?	5	number
com.lukilabs.lukiapp-setapp	Craft	1707210355	How many documents are displayed?	3	number
com.kapeli.dash-setapp	Dash	1707235734	Is there a checkbox on the screen?	Yes	yes/no
com.kapeli.dash-setapp	Dash	1707235822	How many application icons are on the screen?	34	number
com.kapeli.dash-setapp	Dash	1707235815	How many checkboxes are checked?	2	number
com.kapeli.dash-setapp	Dash	1707235815	What is the name of the current tab?	Web Search	string
com.kapeli.dash-setapp	Dash	1707235822	"Is ""RubyMine"" among listed apps?"	Yes	yes/no
com.kapeli.dash-setapp	Dash	1707235822	"Is ""MonoDevelop"" among listed apps?"	No	yes/no
com.kapeli.dash-setapp	Dash	1707235734	"How many many ""Download"" buttons are on the screen?"	13	number
com.kapeli.dash-setapp	Dash	1707235815	How many checkboxes are there on the screen?	3	number
com.kapeli.dash-setapp	Dash	1707235734	How radio buttons are on the screen?	13	number
com.kapeli.dash-setapp	Dash	1707235626	How many docsets are listed in the side menu?	11	number
com.kapeli.dash-setapp	Dash	1707236145	How many functions are listed in Conversions section?	2	number
com.kapeli.dash-setapp	Dash	1707236145	What text is written in the bottom of the window?	You can modify and improve this cheat sheet 	string
com.kapeli.dash-setapp	Dash	1707235618	I want to download docsets, where should I click?	[(822, 416), (1182, 776)]	coordinates
com.kapeli.dash-setapp	Dash	1707236061	How many functions are listed in the sidebar menu?	9	number
com.kapeli.dash-setapp	Dash	1707236061	What is the first function name?	buildWarpAffineMaps()	string
com.kapeli.dash-setapp	Dash	1707236061	Is there there a search bar on screen?	Yes	string
com.kapeli.dash-setapp	Dash	1707235626	How many tabs are visible in the top of the screen?	6	number
com.kapeli.dash-setapp	Dash	1707235618	How many buttons are there in the top right panel?	4	number
com.kapeli.dash-setapp	Dash	1707235618	Is something typed in searchbar on the screen?	No	yes/no
com.kapeli.dash-setapp	Dash	1707235807	How many checkboxes are there on the screen?	9	number
com.kapeli.dash-setapp	Dash	1707235807	What's the name of the toolbar page that is selected?	Docsets	string
com.kapeli.dash-setapp	Dash	1707235807	How many checkboxes are selected?	9	number
